timestamp,sensor_id,event_type,battery_level_mah,consumption_mah,runtime_seconds
1751082268.8717291,mmwave1,frame_processing,2999.8999992847444,0.10000071525573731,5.0067901611328125e-05
1751082268.876897,mmwave1,wifi_transmission,2999.847415304184,0.05258398056030274,0.005218029022216797
1751082312.888859,mmwave1,frame_processing,2999.899999165535,0.10000083446502686,9.059906005859375e-05
1751082312.8920522,mmwave1,wifi_transmission,2999.84840259552,0.051596570014953616,0.0032837390899658203
1751082312.9956129,mmwave2,frame_processing,2999.8999976158143,0.10000238418579102,0.10684442520141602
1751082312.9988017,mmwave2,wifi_transmission,2999.8484031915664,0.0515944242477417,0.11003327369689941
1751082313.102357,mmwave1,frame_processing,2999.6432502269745,0.20515236854553223,0.21358847618103027
1751082313.1055727,mmwave1,wifi_transmission,2999.591642332077,0.05160789489746094,0.21680426597595215
1751082313.209111,mmwave2,frame_processing,2999.6432485580444,0.2051546335220337,0.3203425407409668
1751082313.2123017,mmwave2,wifi_transmission,2999.591653180122,0.05159537792205811,0.323533296585083
1751082313.315896,mmwave1,frame_processing,2999.386480665207,0.2051616668701172,0.4271275997161865
1751082313.319094,mmwave1,wifi_transmission,2999.334881711006,0.05159895420074463,0.4303255081176758
1751082356.6961467,mmwave1,frame_processing,2999.8999989271165,0.10000107288360596,8.7738037109375e-05
1751082356.7013505,mmwave1,wifi_transmission,2999.8473970651626,0.052601861953735354,0.005291461944580078
1751082390.7818365,mmwave1,frame_processing,2999.899999165535,0.10000083446502686,9.226799011230469e-05
1751082390.78712,mmwave1,wifi_transmission,2999.847357368469,0.052641797065734866,0.005375862121582031
1751082989.6045797,mmwave1,frame_processing,2999.899998688698,0.10000131130218506,0.0001304149627685547
1751082989.6109176,mmwave1,wifi_transmission,2999.8468297481536,0.05316894054412842,0.006468296051025391
1751082989.7158241,mmwave2,frame_processing,2999.8999972581864,0.10000274181365967,0.1113748550415039
1751082989.7203827,mmwave2,wifi_transmission,2999.84771797657,0.05227928161621094,0.11593341827392578
1751082989.8245382,mmwave1,frame_processing,2999.640019416809,0.2068103313446045,0.22008895874023438
1751082989.831199,mmwave1,wifi_transmission,2999.5866890668867,0.05333034992218018,0.22674965858459473
1751082989.935074,mmwave2,frame_processing,2999.640372276306,0.20734570026397706,0.3306248188018799
1751082989.9373283,mmwave2,wifi_transmission,2999.5892451524733,0.05112712383270264,0.33287906646728516
1751082990.0408127,mmwave1,frame_processing,2999.3818821668624,0.20480690002441407,0.43636345863342285
1751082990.0448852,mmwave1,wifi_transmission,2999.3298459529874,0.0520362138748169,0.44043588638305664
1751082990.1485906,mmwave2,frame_processing,2999.383614039421,0.20563111305236817,0.5441412925720215
1751082990.1520638,mmwave2,wifi_transmission,2999.3318773984906,0.051736640930175784,0.547614574432373
1751082990.25643,mmwave1,frame_processing,2999.124073576927,0.20577237606048585,0.6519806385040283
1751082990.260843,mmwave1,wifi_transmission,2999.0718670129772,0.052206563949584964,0.6563937664031982
1751082990.3648818,mmwave2,frame_processing,2999.125468444824,0.20640895366668702,0.7604324817657471
1751082990.3709135,mmwave2,wifi_transmission,2999.0724525690075,0.05301587581634522,0.7664642333984375
1751082990.4752588,mmwave1,frame_processing,2998.864659118652,0.20720789432525635,0.8708095550537109
1751082990.4802997,mmwave1,wifi_transmission,2998.812138676643,0.05252044200897217,0.8758504390716553
1751082990.584217,mmwave2,frame_processing,2998.865800786018,0.20665178298950196,0.9797677993774414
1751082990.5921245,mmwave2,wifi_transmission,2998.8118470907207,0.053953695297241214,0.9876751899719238
